kepid,kepoi_name,koi_disposition
10797460,K00752.01,CONFIRMED
10797460,K00752.02,CONFIRMED
10854555,K00755.01,CONFIRMED
10872983,K00756.01,CONFIRMED
10872983,K00756.02,CONFIRMED
10872983,K00756.03,CONFIRMED
10910878,K00757.01,CONFIRMED
11446443,K00001.01,CONFIRMED
10666592,K00002.01,CONFIRMED
6922244,K00010.01,CONFIRMED
10984090,K00112.02,CONFIRMED
10526549,K00746.01,CONFIRMED
10583066,K00747.01,CONFIRMED
10601284,K00749.01,CONFIRMED
10601284,K00749.02,CONFIRMED
10601284,K00749.03,CONFIRMED
10662202,K00750.01,CONFIRMED
10682541,K00751.01,CONFIRMED
11460018,K00769.01,CONFIRMED
11507101,K00773.01,CONFIRMED
10910878,K00757.02,CONFIRMED
10910878,K00757.03,CONFIRMED
10987985,K00758.01,CONFIRMED
11018648,K00759.01,CONFIRMED
11018648,K00759.02,CONFIRMED
11138155,K00760.01,CONFIRMED
11153539,K00762.01,CONFIRMED
9579641,K00115.01,CONFIRMED
11304958,K00764.01,CONFIRMED
11391957,K00765.01,CONFIRMED
11403044,K00766.01,CONFIRMED
11414511,K00767.01,CONFIRMED
12110942,K00786.01,CONFIRMED
12366084,K00787.01,CONFIRMED
12366084,K00787.02,CONFIRMED
12404086,K00788.01,CONFIRMED
8395660,K00116.01,CONFIRMED
9579641,K00115.02,CONFIRMED
11754553,K00775.01,CONFIRMED
11754553,K00775.02,CONFIRMED
11754553,K00775.03,CONFIRMED
11812062,K00776.01,CONFIRMED
11853255,K00778.01,CONFIRMED
11918099,K00780.01,CONFIRMED
11923270,K00781.01,CONFIRMED
11960862,K00782.01,CONFIRMED
12020329,K00783.01,CONFIRMED
12066335,K00784.01,CONFIRMED
12066335,K00784.02,CONFIRMED
12070811,K00785.01,CONFIRMED
8395660,K00116.02,CONFIRMED
3342970,K00800.01,CONFIRMED
3342970,K00800.02,CONFIRMED
12470844,K00790.01,CONFIRMED
12470844,K00790.02,CONFIRMED
12644822,K00791.01,CONFIRMED
2713049,K00794.01,CONFIRMED
3114167,K00795.01,CONFIRMED
4139816,K00812.02,CONFIRMED
4139816,K00812.03,CONFIRMED
8395660,K00116.04,CONFIRMED
4139816,K00812.04,CONFIRMED
4275191,K00813.01,CONFIRMED
4476123,K00814.01,CONFIRMED
3351888,K00801.01,CONFIRMED
3641726,K00804.01,CONFIRMED
3832474,K00806.01,CONFIRMED
8395660,K00116.03,CONFIRMED
3832474,K00806.02,CONFIRMED
3832474,K00806.03,CONFIRMED
3935914,K00809.01,CONFIRMED
3940418,K00810.01,CONFIRMED
4049131,K00811.01,CONFIRMED
4139816,K00812.01,CONFIRMED
5358241,K00829.01,CONFIRMED
10875245,K00117.02,CONFIRMED
5358241,K00829.02,CONFIRMED
5358241,K00829.03,CONFIRMED
5358624,K00830.01,CONFIRMED
4664847,K00816.01,CONFIRMED
4725681,K00817.01,CONFIRMED
4725681,K00817.02,CONFIRMED
4913852,K00818.01,CONFIRMED
10875245,K00117.01,CONFIRMED
5021899,K00821.01,CONFIRMED
5164255,K00824.01,CONFIRMED
5252423,K00825.01,CONFIRMED
5252423,K00825.02,CONFIRMED
5272878,K00826.01,CONFIRMED
5651104,K00840.01,CONFIRMED
5792202,K00841.01,CONFIRMED
10875245,K00117.04,CONFIRMED
5792202,K00841.02,CONFIRMED
5436502,K00834.01,CONFIRMED
5436502,K00834.02,CONFIRMED
5436502,K00834.03,CONFIRMED
5436502,K00834.04,CONFIRMED
10875245,K00117.03,CONFIRMED
5436502,K00834.05,CONFIRMED
5456651,K00835.01,CONFIRMED
5456651,K00835.02,CONFIRMED
5531576,K00837.01,CONFIRMED
5531576,K00837.02,CONFIRMED
6291653,K00850.01,CONFIRMED
6392727,K00851.01,CONFIRMED
6422070,K00852.01,CONFIRMED
6428700,K00853.01,CONFIRMED
6428700,K00853.02,CONFIRMED
5792202,K00841.03,CONFIRMED
5794379,K00842.01,CONFIRMED
5794379,K00842.02,CONFIRMED
5881688,K00843.01,CONFIRMED
6022556,K00844.01,CONFIRMED
6032497,K00845.01,CONFIRMED
6061119,K00846.01,CONFIRMED
6191521,K00847.01,CONFIRMED
3531558,K00118.01,CONFIRMED
6276477,K00849.01,CONFIRMED
6863998,K00867.01,CONFIRMED
6948054,K00869.01,CONFIRMED
6948054,K00869.02,CONFIRMED
6948054,K00869.03,CONFIRMED
6435936,K00854.01,CONFIRMED
6522242,K00855.01,CONFIRMED
6587280,K00857.01,CONFIRMED
9471974,K00119.01,CONFIRMED
6587280,K00857.02,CONFIRMED
6685526,K00861.01,CONFIRMED
6784235,K00863.01,CONFIRMED
6849310,K00864.01,CONFIRMED
6849310,K00864.02,CONFIRMED
6849310,K00864.03,CONFIRMED
9471974,K00119.02,CONFIRMED
7366258,K00880.01,CONFIRMED
7366258,K00880.02,CONFIRMED
7366258,K00880.03,CONFIRMED
7366258,K00880.04,CONFIRMED
7373451,K00881.01,CONFIRMED
6948054,K00869.04,CONFIRMED
6949607,K00870.01,CONFIRMED
6949607,K00870.02,CONFIRMED
7109675,K00872.01,CONFIRMED
7109675,K00872.02,CONFIRMED
7118364,K00873.01,CONFIRMED
7134976,K00874.01,CONFIRMED
7134976,K00874.02,CONFIRMED
7135852,K00875.01,CONFIRMED
7287995,K00877.01,CONFIRMED
7287995,K00877.02,CONFIRMED
7287995,K00877.03,CONFIRMED
7303253,K00878.01,CONFIRMED
5094751,K00123.01,CONFIRMED
7678434,K00892.01,CONFIRMED
7678434,K00892.02,CONFIRMED
7685981,K00893.01,CONFIRMED
7373451,K00881.02,CONFIRMED
7434875,K00884.01,CONFIRMED
8349582,K00122.01,CONFIRMED
7434875,K00884.02,CONFIRMED
7434875,K00884.03,CONFIRMED
7455287,K00886.01,CONFIRMED
7455287,K00886.02,CONFIRMED
7455287,K00886.03,CONFIRMED
7458762,K00887.01,CONFIRMED
757450,K00889.01,CONFIRMED
7585481,K00890.01,CONFIRMED
7663691,K00891.01,CONFIRMED
5812701,K00012.01,CONFIRMED
8039892,K00903.01,CONFIRMED
8150320,K00904.01,CONFIRMED
8150320,K00904.02,CONFIRMED
11086270,K00124.01,CONFIRMED
7825899,K00896.01,CONFIRMED
7825899,K00896.02,CONFIRMED
7849854,K00897.01,CONFIRMED
7870390,K00898.01,CONFIRMED
7870390,K00898.02,CONFIRMED
5094751,K00123.02,CONFIRMED
7870390,K00898.03,CONFIRMED
7907423,K00899.01,CONFIRMED
7907423,K00899.02,CONFIRMED
7907423,K00899.03,CONFIRMED
7938496,K00900.01,CONFIRMED
8490993,K00911.01,CONFIRMED
8490993,K00911.02,CONFIRMED
8505670,K00912.01,CONFIRMED
8505670,K00912.02,CONFIRMED
8544996,K00913.01,CONFIRMED
8150320,K00904.03,CONFIRMED
8150320,K00904.04,CONFIRMED
8150320,K00904.05,CONFIRMED
8226994,K00906.01,CONFIRMED
8226994,K00906.02,CONFIRMED
8226994,K00906.03,CONFIRMED
8247638,K00907.01,CONFIRMED
8247638,K00907.02,CONFIRMED
8247638,K00907.03,CONFIRMED
11086270,K00124.02,CONFIRMED
8247638,K00907.04,CONFIRMED
8255887,K00908.01,CONFIRMED
8414716,K00910.01,CONFIRMED
9141746,K00929.01,CONFIRMED
9166862,K00931.01,CONFIRMED
11449844,K00125.01,CONFIRMED
8628973,K00916.01,CONFIRMED
8672910,K00918.01,CONFIRMED
8689031,K00920.01,CONFIRMED
8689373,K00921.01,CONFIRMED
8689373,K00921.02,CONFIRMED
8689373,K00921.03,CONFIRMED
8826878,K00922.01,CONFIRMED
8883593,K00923.01,CONFIRMED
9077124,K00926.01,CONFIRMED
9466668,K00939.01,CONFIRMED
9466668,K00939.02,CONFIRMED
9466668,K00939.03,CONFIRMED
9466668,K00939.04,CONFIRMED
9479273,K00940.01,CONFIRMED
8359498,K00127.01,CONFIRMED
9334289,K00934.01,CONFIRMED
9334289,K00934.02,CONFIRMED
9334289,K00934.03,CONFIRMED
9347899,K00935.01,CONFIRMED
9347899,K00935.02,CONFIRMED
9347899,K00935.03,CONFIRMED
9388479,K00936.01,CONFIRMED
9388479,K00936.02,CONFIRMED
11359879,K00128.01,CONFIRMED
9406990,K00937.01,CONFIRMED
9415172,K00938.01,CONFIRMED
9415172,K00938.02,CONFIRMED
9415172,K00938.03,CONFIRMED
3231341,K01102.02,CONFIRMED
3231341,K01102.03,CONFIRMED
3231341,K01102.04,CONFIRMED
7626506,K00150.02,CONFIRMED
10482160,K01170.01,CONFIRMED
8559644,K00139.01,CONFIRMED
3240158,K01106.01,CONFIRMED
3240158,K01106.02,CONFIRMED
3218908,K01108.01,CONFIRMED
10350571,K01175.01,CONFIRMED
10350571,K01175.02,CONFIRMED
3749365,K01176.01,CONFIRMED
3632418,K00975.01,CONFIRMED
5809890,K01050.01,CONFIRMED
5809890,K01050.02,CONFIRMED
6131236,K01051.01,CONFIRMED
3218908,K01108.02,CONFIRMED
3218908,K01108.03,CONFIRMED
2837111,K01110.01,CONFIRMED
9032900,K00134.01,CONFIRMED
5956342,K01052.01,CONFIRMED
5956342,K01052.02,CONFIRMED
5956342,K01052.03,CONFIRMED
5956342,K01052.04,CONFIRMED
5956656,K01053.01,CONFIRMED
3109930,K01112.01,CONFIRMED
2854914,K01113.01,CONFIRMED
2854914,K01113.02,CONFIRMED
3116412,K01115.01,CONFIRMED
8394721,K00152.01,CONFIRMED
1161345,K00984.01,CONFIRMED
2854698,K00986.01,CONFIRMED
2854698,K00986.02,CONFIRMED
8559644,K00139.02,CONFIRMED
2849805,K01116.01,CONFIRMED
3114811,K01117.01,CONFIRMED
3554031,K01194.01,CONFIRMED
3554031,K01194.03,CONFIRMED
8394721,K00152.02,CONFIRMED
7295235,K00987.01,CONFIRMED
2302548,K00988.01,CONFIRMED
2302548,K00988.02,CONFIRMED
9818381,K00135.01,CONFIRMED
6060203,K01059.01,CONFIRMED
5880320,K01060.01,CONFIRMED
5880320,K01060.02,CONFIRMED
5880320,K01060.03,CONFIRMED
3859079,K01199.01,CONFIRMED
4061149,K01201.01,CONFIRMED
3444588,K01202.01,CONFIRMED
8394721,K00152.03,CONFIRMED
3962243,K01203.01,CONFIRMED
10154388,K00991.01,CONFIRMED
1432789,K00992.01,CONFIRMED
1718189,K00993.01,CONFIRMED
5880320,K01060.04,CONFIRMED
6037187,K01061.01,CONFIRMED
5735762,K00148.01,CONFIRMED
6359320,K01127.01,CONFIRMED
3859628,K01191.01,CONFIRMED
1718189,K00993.02,CONFIRMED
8222813,K01069.01,CONFIRMED
6359320,K01127.02,CONFIRMED
6362874,K01128.01,CONFIRMED
6272413,K01129.01,CONFIRMED
3447722,K01198.01,CONFIRMED
3447722,K01198.02,CONFIRMED
3447722,K01198.03,CONFIRMED
2165002,K00999.01,CONFIRMED
2165002,K00999.02,CONFIRMED
1871056,K01001.01,CONFIRMED
8222813,K01069.02,CONFIRMED
8240904,K01070.01,CONFIRMED
8240904,K01070.02,CONFIRMED
5735762,K00148.02,CONFIRMED
3962243,K01203.02,CONFIRMED
3962243,K01203.03,CONFIRMED
3438507,K01204.01,CONFIRMED
3869014,K01205.01,CONFIRMED
1871056,K01001.02,CONFIRMED
1865042,K01002.01,CONFIRMED
5780460,K01005.01,CONFIRMED
8229696,K01072.01,CONFIRMED
10272640,K01074.01,CONFIRMED
8346392,K01141.01,CONFIRMED
8288947,K01142.01,CONFIRMED
9480189,K00941.01,CONFIRMED
11974540,K00129.01,CONFIRMED
9480189,K00941.02,CONFIRMED
9480189,K00941.03,CONFIRMED
9512687,K00942.01,CONFIRMED
8644288,K00137.01,CONFIRMED
1725016,K01007.01,CONFIRMED
5446285,K00142.01,CONFIRMED
10166274,K01078.01,CONFIRMED
10166274,K01078.02,CONFIRMED
10166274,K01078.03,CONFIRMED
5735762,K00148.03,CONFIRMED
8351704,K01146.01,CONFIRMED
9513865,K00943.01,CONFIRMED
9605514,K00945.01,CONFIRMED
9605514,K00945.02,CONFIRMED
8125580,K01014.01,CONFIRMED
8158127,K01015.01,CONFIRMED
10141900,K01082.01,CONFIRMED
10141900,K01082.02,CONFIRMED
10141900,K01082.03,CONFIRMED
8410727,K01148.01,CONFIRMED
8410727,K01148.02,CONFIRMED
8278371,K01150.01,CONFIRMED
8280511,K01151.01,CONFIRMED
8280511,K01151.02,CONFIRMED
9710326,K00947.01,CONFIRMED
9761882,K00948.01,CONFIRMED
9766437,K00949.01,CONFIRMED
9775938,K00951.01,CONFIRMED
8644288,K00137.02,CONFIRMED
8158127,K01015.02,CONFIRMED
8174625,K01017.01,CONFIRMED
10157458,K01083.01,CONFIRMED
10118816,K01085.01,CONFIRMED
10122255,K01086.01,CONFIRMED
3835670,K00149.01,CONFIRMED
9775938,K00951.02,CONFIRMED
9787239,K00952.01,CONFIRMED
9787239,K00952.02,CONFIRMED
9787239,K00952.03,CONFIRMED
9787239,K00952.04,CONFIRMED
9787239,K00952.05,CONFIRMED
2716853,K01022.01,CONFIRMED
2715135,K01024.01,CONFIRMED
8644288,K00137.03,CONFIRMED
3247268,K01089.01,CONFIRMED
3247268,K01089.02,CONFIRMED
10354039,K01159.01,CONFIRMED
10330115,K01160.01,CONFIRMED
10426656,K01161.01,CONFIRMED
9820483,K00953.01,CONFIRMED
9941662,K00013.01,CONFIRMED
7778437,K00131.01,CONFIRMED
9823457,K00954.01,CONFIRMED
9823457,K00954.02,CONFIRMED
2164169,K01029.01,CONFIRMED
2574338,K01030.01,CONFIRMED
2584163,K01031.01,CONFIRMED
4180280,K00144.01,CONFIRMED
2721030,K01094.01,CONFIRMED
7626506,K00150.01,CONFIRMED
10426656,K01161.02,CONFIRMED
10426656,K01161.03,CONFIRMED
10528068,K01162.01,CONFIRMED
10468940,K01163.01,CONFIRMED
9825625,K00955.01,CONFIRMED
9875711,K00956.01,CONFIRMED
1026957,K00958.01,CONFIRMED
2853093,K01099.01,CONFIRMED
3245969,K01101.01,CONFIRMED
3231341,K01102.01,CONFIRMED
10468940,K01163.02,CONFIRMED
10337517,K01165.01,CONFIRMED
10337517,K01165.02,CONFIRMED
10351231,K01166.01,CONFIRMED
8561063,K00961.01,CONFIRMED
8561063,K00961.02,CONFIRMED
8561063,K00961.03,CONFIRMED
7102227,K01360.01,CONFIRMED
7102227,K01360.02,CONFIRMED
7102227,K01360.03,CONFIRMED
6960913,K01361.01,CONFIRMED
11122894,K01426.02,CONFIRMED
11122894,K01426.03,CONFIRMED
11129738,K01427.01,CONFIRMED
11401182,K01428.01,CONFIRMED
11030711,K01429.01,CONFIRMED
11512246,K00168.03,CONFIRMED
6690082,K01240.01,CONFIRMED
6690082,K01240.02,CONFIRMED
6448890,K01241.01,CONFIRMED
6448890,K01241.02,CONFIRMED
10730034,K01305.01,CONFIRMED
10730034,K01305.02,CONFIRMED
10858691,K01306.01,CONFIRMED
10858691,K01306.02,CONFIRMED
10858691,K01306.03,CONFIRMED
8107380,K00162.01,CONFIRMED
6936909,K01363.01,CONFIRMED
6936909,K01363.02,CONFIRMED
6962977,K01364.01,CONFIRMED
6962977,K01364.02,CONFIRMED
11176127,K01430.01,CONFIRMED
11176127,K01430.02,CONFIRMED
11176127,K01430.03,CONFIRMED
11014932,K01432.01,CONFIRMED
8030148,K00155.01,CONFIRMED
6693640,K01245.01,CONFIRMED
10858691,K01306.04,CONFIRMED
10973814,K01307.01,CONFIRMED
10973814,K01307.02,CONFIRMED
6541920,K00157.05,CONFIRMED
10586208,K01308.01,CONFIRMED
6962977,K01364.03,CONFIRMED
6962977,K01364.04,CONFIRMED
6962977,K01364.05,CONFIRMED
6932987,K01366.01,CONFIRMED
11014932,K01432.02,CONFIRMED
11014932,K01432.03,CONFIRMED
11014932,K01432.04,CONFIRMED
11288505,K01433.01,CONFIRMED
11493431,K01434.01,CONFIRMED
10854768,K01309.01,CONFIRMED
10964440,K01310.01,CONFIRMED
10713616,K01311.01,CONFIRMED
10963242,K01312.01,CONFIRMED
6932987,K01366.02,CONFIRMED
8191672,K00018.01,CONFIRMED
6851425,K00163.01,CONFIRMED
6934291,K01367.01,CONFIRMED
11037335,K01435.01,CONFIRMED
11037335,K01435.02,CONFIRMED
11389771,K01436.01,CONFIRMED
11389771,K01436.02,CONFIRMED
10925104,K00156.01,CONFIRMED
10585852,K01314.01,CONFIRMED
10794087,K01316.01,CONFIRMED
6541920,K00157.06,CONFIRMED
7287415,K01369.01,CONFIRMED
6924203,K01370.01,CONFIRMED
11389771,K01436.03,CONFIRMED
11599038,K01437.01,CONFIRMED
11193263,K01438.01,CONFIRMED
11027624,K01439.01,CONFIRMED
11032227,K01440.01,CONFIRMED
8751933,K01257.01,CONFIRMED
8630788,K01258.01,CONFIRMED
8630788,K01258.02,CONFIRMED
8630788,K01258.03,CONFIRMED
