pl_name,hostname,pl_orbper,pl_rade,pl_masse,disc_year,discoverymethod
HD 70642 b,HD 70642,2124.54,,,2003,Radial Velocity
Kepler-61 b,Kepler-61,59.87756,2.15,,2013,Transit
Kepler-79 c,Kepler-79,27.4029,3.72,5.9,2012,Transit
GJ 3634 b,GJ 3634,2.64561,,8.4,2010,Radial Velocity
HD 222582 b,HD 222582,572.38,,,1999,Radial Velocity
Kepler-751 b,Kepler-751,17.44490636,2.46,,2016,Transit
HD 134060 b,HD 134060,3.2696,,,2019,Radial Velocity
Kepler-1745 b,Kepler-1745,3.016190052,1.92872921,,2021,Transit
HD 134606 d,HD 134606,966.5,,,2024,Radial Velocity
HD 43691 b,HD 43691,36.9987,,,2007,Radial Velocity
HD 175167 b,HD 175167,1175.0,,4703.8604236,2009,Radial Velocity
HD 176986 b,HD 176986,6.4898,,,2017,Radial Velocity
K2-85 b,K2-85,0.684559,1.2,,2016,Transit
KOI-2513.01,KOI-2513,19.00547,2.80224517,7310.053361,2023,Transit
Kepler-175 c,Kepler-175,34.035257,3.1,,2014,Transit
HD 11964 b,HD 11964,1945.0,,,2005,Radial Velocity
Qatar-10 b,Qatar-10,1.645321,17.295487,233.92288,2019,Transit
Kepler-196 d,Kepler-196,122.0800018,2.66065673,,2021,Transit
K2-381 c,K2-381,16.034656,2.0,,2022,Transit
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,,,1090.15143601,2022,Microlensing
Kepler-400 b,Kepler-400,9.024389,1.65,,2014,Transit
HD 285507 b,HD 285507,6.0881,,,2013,Radial Velocity
Kepler-1087 b,Kepler-1087,0.693842855,0.61,,2016,Transit
Kepler-1836 b,Kepler-1836,5.254169941,2.55303229,,2021,Transit
Kepler-549 c,Kepler-549,117.040498,2.93,,2016,Transit
WASP-77 A b,WASP-77 A,1.360029395,,529.31142902,2012,Transit
HD 40307 c,HD 40307,9.6184,,,2009,Radial Velocity
Kepler-302 c,Kepler-302,127.282184,12.45,,2014,Transit
Kepler-1729 b,Kepler-1729,4.220970154,3.89404186,,2021,Transit
Kepler-42 b,Kepler-42,1.2137672,0.78,,2011,Transit
Kepler-1050 b,Kepler-1050,15.3787546,1.6,,2016,Transit
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,,,98.52680617,2023,Microlensing
HD 95089 c,HD 95089,1785.0,,,2018,Radial Velocity
Kepler-1166 b,Kepler-1166,33.2406882,1.69,,2016,Transit
Kepler-976 b,Kepler-976,105.9564148,3.96,,2016,Transit
K2-121 b,K2-121,5.1857539,7.52,,2017,Transit
HD 175607 b,HD 175607,29.01,,,2015,Radial Velocity
HD 109749 b,HD 109749,5.239891,,,2005,Radial Velocity
WASP-20 b,WASP-20,4.8996284,16.388,98.841,2015,Transit
HD 39194 d,HD 39194,33.91,,,2021,Radial Velocity
HD 3167 b,HD 3167,0.959641,1.67,4.97,2016,Transit
Kepler-157 c,Kepler-157,13.5405,2.24,,2014,Transit
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,,,1300.0,2013,Microlensing
HATS-52 b,HATS-52,1.36665436,15.490838,711.9392,2017,Transit
HD 204313 b,HD 204313,2041.11539,,1466.7780983,2010,Radial Velocity
Kepler-131 b,Kepler-131,16.092,2.41,16.13,2014,Transit
HIP 55507 b,HIP 55507,5138.43727,,2585.53409095,2022,Radial Velocity
Kepler-271 c,Kepler-271,7.41086267,0.95,,2014,Transit
TOI-1820 b,TOI-1820,4.860674,12.778238,731.0053361,2022,Transit
HR 858 d,HR 858,11.230511,2.001,7.1,2019,Transit
Kepler-728 b,Kepler-728,5.743477265,3.34,,2016,Transit
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,,,82.63538582,2022,Microlensing
Kepler-210 b,Kepler-210,2.453234,2.94,,2014,Transit
HD 134606 b,HD 134606,12.089,,,2024,Radial Velocity
TIC 139270665 b,TIC 139270665,23.624,7.22979255,147.15455244,2024,Transit
Kepler-1165 c,Kepler-1165,29.96870041,3.36093385,,2021,Transit
WASP-18 c,WASP-18,2.1558,,55.2,2019,Transit Timing Variations
TOI-2202 b,TOI-2202,11.9126075,10.95117414,287.31687993,2021,Transit
TOI-4087 b,TOI-4087,3.1774835,13.04725353,232.01473711,2023,Transit
Kepler-1513 b,Kepler-1513,160.8842,8.594,48.30991786,2016,Transit
HD 85390 b,HD 85390,799.52,,,2009,Radial Velocity
Kepler-323 c,Kepler-323,3.5538229,1.57,6.8,2014,Transit
K2-157 c,K2-157,25.942,,,2025,Radial Velocity
HD 77946 b,HD 77946,6.527363,2.89646124,10.9,2024,Transit
WASP-2 b,WASP-2,2.152175,12.116929,295.89973,2007,Transit
Kepler-1235 b,Kepler-1235,4.16055856,0.79,,2016,Transit
Kepler-519 b,Kepler-519,24.3078946,2.1,,2016,Transit
K2-318 b,K2-318,7.01,1.66,,2020,Transit
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,,,53.1,2020,Microlensing
HD 13908 b,HD 13908,19.382,,,2013,Radial Velocity
Kepler-237 b,Kepler-237,4.715106,1.41,,2014,Transit
Kepler-200 c,Kepler-200,10.222157,1.59,,2014,Transit
Kepler-177 b,Kepler-177,36.8601,3.5,5.84,2013,Transit
K2-237 b,K2-237,2.18053332,16.06246934,434.15360396,2018,Transit
HD 95089 b,HD 95089,464.4,,,2009,Radial Velocity
Kepler-580 b,Kepler-580,8.222419656,2.57,,2016,Transit
Kepler-1211 b,Kepler-1211,11.01816836,2.55,,2016,Transit
HD 34445 c,HD 34445,214.67,,,2017,Radial Velocity
KELT-20 b,KELT-20,3.4741085,19.514869,1074.90106,2017,Transit
Kepler-337 c,Kepler-337,9.693201,2.05,,2014,Transit
Kepler-132 c,Kepler-132,6.414914,1.28,,2014,Transit
TOI-1443 b,TOI-1443,23.540678,2.30381001,30.0,2024,Transit
Kepler-1714 b,Kepler-1714,10.27530003,3.26437302,,2021,Transit
TOI-2498 b,TOI-2498,3.738252,6.06,34.62,2023,Transit
Kepler-928 b,Kepler-928,3.932461302,1.59,,2016,Transit
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,,,640.0,2019,Microlensing
TOI-4329 b,TOI-4329,2.9223,16.81347105,143.02278315,2022,Transit
Kepler-784 c,Kepler-784,17.157236,1.55,,2023,Transit
WASP-197 b,WASP-197,5.167228,14.44837612,403.32424848,2025,Transit
Kepler-1279 b,Kepler-1279,23.4774101,1.75,,2016,Transit
HD 149026 b,HD 149026,2.87589,8.29466,120.7754,2005,Radial Velocity
Kepler-1438 b,Kepler-1438,2.31942009,0.94,,2016,Transit
Kepler-257 c,Kepler-257,6.581484,5.41,,2014,Transit
WASP-187 b,WASP-187,5.147878,18.38276,254.264,2020,Transit
Kepler-1102 b,Kepler-1102,51.3285623,2.66,,2016,Transit
K2-268 c,K2-268,9.327527,2.69,,2018,Transit
KOBE-1 c,KOBE-1,29.671,,,2025,Radial Velocity
Kepler-546 b,Kepler-546,4.147020258,7.0,,2016,Transit
Kepler-722 b,Kepler-722,4.093573252,2.63,,2016,Transit
HD 62364 c,HD 62364,74839.94555,,7923.46218651,2022,Radial Velocity
81 Cet b,81 Cet,1005.57,,,2008,Radial Velocity
GJ 682 b,GJ 682,17.478,,,2014,Radial Velocity
WASP-170 b,WASP-170,2.34478022,12.285064,508.528,2018,Transit
K2-198 c,K2-198,3.3596055,1.423,,2019,Transit
Kepler-1933 b,Kepler-1933,4.943290234,1.17984089,,2021,Transit
Kepler-1913 b,Kepler-1913,14.1960001,1.51852059,,2021,Transit
WASP-37 b,WASP-37,3.577469,13.002,572.07,2010,Transit
Kepler-335 c,Kepler-335,67.844469,3.07,,2014,Transit
WASP-46 b,WASP-46,1.43036763,13.159366,607.0553,2011,Transit
K2-273 b,K2-273,11.7195663,3.05,,2018,Transit
HD 128311 c,HD 128311,921.538,,1204.25787,2005,Radial Velocity
Kepler-44 b,Kepler-44,3.2467293,12.22,317.82,2011,Transit
HD 47536 b,HD 47536,712.13,,,2002,Radial Velocity
BD-17 63 b,BD-17 63,655.57,,1639.99458012,2008,Radial Velocity
HD 191939 b,HD 191939,8.8803256,3.41,10.0,2020,Transit
HD 75302 b,HD 75302,4356.0,,1716.2733978,2023,Radial Velocity
Kepler-915 b,Kepler-915,4.59489604,1.5,,2016,Transit
KOI-984 c,KOI-984,21.512,,209.8,2022,Transit Timing Variations
Kepler-1912 b,Kepler-1912,6.059219837,1.35670508,,2021,Transit
Kepler-267 b,Kepler-267,3.353728,1.98,,2014,Transit
Kepler-303 b,Kepler-303,1.937055,0.89,,2014,Transit
Kepler-186 b,Kepler-186,3.8867907,1.07,,2014,Transit
Kepler-186 e,Kepler-186,22.407704,1.27,,2014,Transit
Kepler-186 c,Kepler-186,7.267302,1.25,,2014,Transit
Kepler-186 d,Kepler-186,13.342996,1.4,,2014,Transit
Kepler-206 d,Kepler-206,23.44281,1.19,,2014,Transit
Kepler-1860 b,Kepler-1860,12.73719978,1.13863767,,2021,Transit
TOI-4914 b,TOI-4914,10.60057,12.87,227.0,2024,Transit
HD 213519 b,HD 213519,11.12214,,,2022,Radial Velocity
