tic_id,period,tce_disposition
1820,0.0,CANDIDATE
139270665,0.0,CANDIDATE
2202,0.0,CANDIDATE
4087,0.0,CANDIDATE
1443,0.0,CANDIDATE
2498,0.0,CANDIDATE
4329,0.0,CANDIDATE
4914,0.0,CANDIDATE
1898,0.0,CANDIDATE
561,0.0,CANDIDATE
1749,0.0,CANDIDATE
5108,0.0,CANDIDATE
2669,0.0,CANDIDATE
2260,0.0,CANDIDATE
88785435,0.0,CANDIDATE
1846,0.0,CANDIDATE
5882,0.0,CANDIDATE
4638,0.0,CANDIDATE
1248,0.0,CANDIDATE
6002,0.0,CANDIDATE
3568,0.0,CANDIDATE
201,0.0,CANDIDATE
150,0.0,CANDIDATE
421,0.0,CANDIDATE
1883,0.0,CANDIDATE
169,0.0,CANDIDATE
3235,0.0,CANDIDATE
4504,0.0,CANDIDATE
654,0.0,CANDIDATE
5720,0.0,CANDIDATE
1452,0.0,CANDIDATE
1836,0.0,CANDIDATE
1789,0.0,CANDIDATE
2525,0.0,CANDIDATE
2193,0.0,CANDIDATE
216,0.0,CANDIDATE
451,0.0,CANDIDATE
2096,0.0,CANDIDATE
1899,0.0,CANDIDATE
715,0.0,CANDIDATE
4137,0.0,CANDIDATE
481,0.0,CANDIDATE
3976,0.0,CANDIDATE
2537,0.0,CANDIDATE
1273,0.0,CANDIDATE
1518,0.0,CANDIDATE
849,0.0,CANDIDATE
393818343,0.0,CANDIDATE
2407,0.0,CANDIDATE
5803,0.0,CANDIDATE
837,0.0,CANDIDATE
4860,0.0,CANDIDATE
5110,0.0,CANDIDATE
733,0.0,CANDIDATE
1130,0.0,CANDIDATE
700,0.0,CANDIDATE
2076,0.0,CANDIDATE
5238,0.0,CANDIDATE
1410,0.0,CANDIDATE
1759,0.0,CANDIDATE
1279,0.0,CANDIDATE
132,0.0,CANDIDATE
3071,0.0,CANDIDATE
178,0.0,CANDIDATE
2207,0.0,CANDIDATE
244,0.0,CANDIDATE
913,0.0,CANDIDATE
2969,0.0,CANDIDATE
2989,0.0,CANDIDATE
5300,0.0,CANDIDATE
1468,0.0,CANDIDATE
470,0.0,CANDIDATE
4600,0.0,CANDIDATE
5319,0.0,CANDIDATE
3894,0.0,CANDIDATE
1782,0.0,CANDIDATE
2411,0.0,CANDIDATE
1295,0.0,CANDIDATE
771,0.0,CANDIDATE
813,0.0,CANDIDATE
1136,0.0,CANDIDATE
1807,0.0,CANDIDATE
5005,0.0,CANDIDATE
1260,0.0,CANDIDATE
5713,0.0,CANDIDATE
431,0.0,CANDIDATE
6383,0.0,CANDIDATE
2136,0.0,CANDIDATE
2152,0.0,CANDIDATE
1235,0.0,CANDIDATE
1630,0.0,CANDIDATE
500,0.0,CANDIDATE
2529,0.0,CANDIDATE
2589,0.0,CANDIDATE
6130,0.0,CANDIDATE
206,0.0,CANDIDATE
277,0.0,CANDIDATE
6038,0.0,CANDIDATE
286,0.0,CANDIDATE
3714,0.0,CANDIDATE
1693,0.0,CANDIDATE
1716,0.0,CANDIDATE
1803,0.0,CANDIDATE
5126,0.0,CANDIDATE
4010,0.0,CANDIDATE
2583,0.0,CANDIDATE
332,0.0,CANDIDATE
1224,0.0,CANDIDATE
4443,0.0,CANDIDATE
1798,0.0,CANDIDATE
559,0.0,CANDIDATE
2095,0.0,CANDIDATE
892,0.0,CANDIDATE
1472,0.0,CANDIDATE
1685,0.0,CANDIDATE
615,0.0,CANDIDATE
1776,0.0,CANDIDATE
2427,0.0,CANDIDATE
1806,0.0,CANDIDATE
1386,0.0,CANDIDATE
5293,0.0,CANDIDATE
4153,0.0,CANDIDATE
262,0.0,CANDIDATE
2570,0.0,CANDIDATE
257,0.0,CANDIDATE
4342,0.0,CANDIDATE
2134,0.0,CANDIDATE
1347,0.0,CANDIDATE
4994,0.0,CANDIDATE
1683,0.0,CANDIDATE
669,0.0,CANDIDATE
46432937,0.0,CANDIDATE
3819,0.0,CANDIDATE
776,0.0,CANDIDATE
181,0.0,CANDIDATE
2803,0.0,CANDIDATE
199,0.0,CANDIDATE
1758,0.0,CANDIDATE
3331,0.0,CANDIDATE
1249,0.0,CANDIDATE
4465,0.0,CANDIDATE
5800,0.0,CANDIDATE
434398831,0.0,CANDIDATE
2010,0.0,CANDIDATE
1278,0.0,CANDIDATE
2274,0.0,CANDIDATE
907,0.0,CANDIDATE
2459,0.0,CANDIDATE
1670,0.0,CANDIDATE
3757,0.0,CANDIDATE
2567,0.0,CANDIDATE
2285,0.0,CANDIDATE
7041,0.0,CANDIDATE
3629,0.0,CANDIDATE
2068,0.0,CANDIDATE
2374,0.0,CANDIDATE
198,0.0,CANDIDATE
1269,0.0,CANDIDATE
778,0.0,CANDIDATE
