kepid,kepoi_name,koi_disposition
10848459,K00754.01,FALSE POSITIVE
6721123,K00114.01,FALSE POSITIVE
10419211,K00742.01,FALSE POSITIVE
10464078,K00743.01,FALSE POSITIVE
10480982,K00744.01,FALSE POSITIVE
10485250,K00745.01,FALSE POSITIVE
10583180,K00748.01,FALSE POSITIVE
2306756,K00113.01,FALSE POSITIVE
11463211,K00770.01,FALSE POSITIVE
11465813,K00771.01,FALSE POSITIVE
11493732,K00772.01,FALSE POSITIVE
11152159,K00761.01,FALSE POSITIVE
11242721,K00763.01,FALSE POSITIVE
11442465,K00768.01,FALSE POSITIVE
11656840,K00774.01,FALSE POSITIVE
11909839,K00779.01,FALSE POSITIVE
3120431,K00798.01,FALSE POSITIVE
3246984,K00799.01,FALSE POSITIVE
12459725,K00789.01,FALSE POSITIVE
2440757,K00792.01,FALSE POSITIVE
2445129,K00793.01,FALSE POSITIVE
3114661,K00796.01,FALSE POSITIVE
3554600,K00803.01,FALSE POSITIVE
3734868,K00805.01,FALSE POSITIVE
3836375,K00807.01,FALSE POSITIVE
3838486,K00808.01,FALSE POSITIVE
5287983,K00828.01,FALSE POSITIVE
4932348,K00819.01,FALSE POSITIVE
11913073,K00011.01,FALSE POSITIVE
5077629,K00822.01,FALSE POSITIVE
5283542,K00827.01,FALSE POSITIVE
5649215,K00839.01,FALSE POSITIVE
5370302,K00831.01,FALSE POSITIVE
5372966,K00832.01,FALSE POSITIVE
5376067,K00833.01,FALSE POSITIVE
5481416,K00836.01,FALSE POSITIVE
5534814,K00838.01,FALSE POSITIVE
6267425,K00848.01,FALSE POSITIVE
6675056,K00859.01,FALSE POSITIVE
6756669,K00862.01,FALSE POSITIVE
6862603,K00866.01,FALSE POSITIVE
11869052,K00120.01,FALSE POSITIVE
7270230,K00876.01,FALSE POSITIVE
3247396,K00121.01,FALSE POSITIVE
7708215,K00894.01,FALSE POSITIVE
7377033,K00882.01,FALSE POSITIVE
7552344,K00888.01,FALSE POSITIVE
7767559,K00895.01,FALSE POSITIVE
8180063,K00905.01,FALSE POSITIVE
8256049,K00909.01,FALSE POSITIVE
9159275,K00930.01,FALSE POSITIVE
9166870,K00932.01,FALSE POSITIVE
8605074,K00915.01,FALSE POSITIVE
8655354,K00917.01,FALSE POSITIVE
8686150,K00919.01,FALSE POSITIVE
5897826,K00126.01,FALSE POSITIVE
9016295,K00925.01,FALSE POSITIVE
9097120,K00927.01,FALSE POSITIVE
9171801,K00933.01,FALSE POSITIVE
9904059,K00145.01,FALSE POSITIVE
10485069,K01171.01,FALSE POSITIVE
3233043,K00966.01,FALSE POSITIVE
6579806,K00967.01,FALSE POSITIVE
3560301,K00968.01,FALSE POSITIVE
4044005,K00969.01,FALSE POSITIVE
5802246,K01044.01,FALSE POSITIVE
6066403,K01045.01,FALSE POSITIVE
6209637,K01046.01,FALSE POSITIVE
5988031,K01047.01,FALSE POSITIVE
7684873,K00014.01,FALSE POSITIVE
2851100,K01104.01,FALSE POSITIVE
3130300,K01105.01,FALSE POSITIVE
3228959,K01107.01,FALSE POSITIVE
10341913,K01172.01,FALSE POSITIVE
10480921,K01173.01,FALSE POSITIVE
