kepid,p_joint,p_1d,p_2d,disagreement
8030339,0.26097155,0.16543144,0.1774389,0.01200746
8219268,0.3258378,0.11132465,0.31859294,0.20726828
7115785,0.15284066,0.11609013,0.14204536,0.025955237
5446285,0.45924357,0.119178645,0.44032937,0.32115072
8672910,0.3739725,0.124119945,0.3425591,0.21843916
8552719,0.2497135,0.11724377,0.23193444,0.11469068
9529744,0.20939633,0.12803078,0.17915462,0.051123843
3832474,0.1648486,0.024220537,0.43228918,0.40806866
8780959,0.2249943,0.106622264,0.22648875,0.11986649
4548011,0.3386462,0.14231168,0.2738726,0.13156094
8609450,0.09691891,0.08183401,0.12646389,0.04462988
12470954,0.3026574,0.09284528,0.33435437,0.24150908
8956206,0.253123,0.046011366,0.42170748,0.37569612
2716853,0.41784802,0.21739645,0.24810204,0.030705586
8495415,0.56097454,0.38541833,0.38801032,0.0025919974
7047363,0.34162378,0.13744721,0.28488892,0.14744172
9230021,0.5297021,0.26164168,0.38224593,0.12060425
8494410,0.2706981,0.15463994,0.19724686,0.04260692
9827149,0.47919115,0.2637254,0.2672719,0.0035465062
11968463,0.35203734,0.23056765,0.18240967,0.048157975
5351250,0.30379125,0.09720319,0.3228244,0.2256212
9008737,0.32202232,0.103410475,0.32833564,0.22492516
8753896,0.44922638,0.15566152,0.37612423,0.22046271
6678383,0.3818072,0.1338242,0.33145213,0.19762793
7021681,0.32777044,0.12069894,0.30398166,0.18328273
3348082,0.38557622,0.19763237,0.2380102,0.040377825
7269493,0.34815502,0.12208411,0.3195612,0.1974771
3662838,0.41854262,0.11008987,0.41357914,0.30348927
7935997,0.40007928,0.08799479,0.43709806,0.34910327
