file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,92.58,9.46,,,Jupiter-sized,30-100 days
,1,82.37,3.24,,,Neptune-sized,30-100 days
,1,2.09,89.86,,,Super-Jupiter,<3 days
,1,53.64,7.44,,,Jupiter-sized,30-100 days
,1,15.24,1602.53,,,Super-Jupiter,10-30 days
,1,61.75,6.5,,,Jupiter-sized,30-100 days
,1,6.06,123.98,,,Super-Jupiter,3-10 days
,1,99.03,3.48,,,Neptune-sized,30-100 days
,1,16.97,6.4,,,Jupiter-sized,10-30 days
,1,20.85,390.8,,,Super-Jupiter,10-30 days
,1,88.51,4.26,,,Jupiter-sized,30-100 days
,1,17.98,1004.92,,,Super-Jupiter,10-30 days
,1,59.16,1.37,,,Super-Earth,30-100 days
,1,27.01,5.87,,,Jupiter-sized,10-30 days
,1,5.93,124.96,,,Super-Jupiter,3-10 days
,1,6.34,184.69,,,Super-Jupiter,3-10 days
,1,6.39,117.68,,,Super-Jupiter,3-10 days
,1,29.58,4.24,,,Jupiter-sized,10-30 days
,1,8.46,207.7,,,Super-Jupiter,3-10 days
,1,91.67,4.55,,,Jupiter-sized,30-100 days
,1,12.55,200.4,,,Super-Jupiter,10-30 days
,1,12.79,5.5,,,Jupiter-sized,10-30 days
,1,53.94,2.51,,,Neptune-sized,30-100 days
,1,43.68,9.19,,,Jupiter-sized,30-100 days
,1,3.98,100.24,,,Super-Jupiter,3-10 days
,1,1.48,217.6,,,Super-Jupiter,<3 days
,1,8.46,260.6,,,Super-Jupiter,3-10 days
,1,8.7,184.78,,,Super-Jupiter,3-10 days
,1,5.2,107.39,,,Super-Jupiter,3-10 days
,1,27.01,2.19,,,Neptune-sized,10-30 days
,1,98.3,4.09,,,Jupiter-sized,30-100 days
,1,1.63,167.75,,,Super-Jupiter,<3 days
,1,91.43,9.71,,,Jupiter-sized,30-100 days
,1,3.8,219.62,,,Super-Jupiter,3-10 days
,1,9.99,120.25,,,Super-Jupiter,3-10 days
,1,8.2,298.29,,,Super-Jupiter,3-10 days
,1,44.43,8.65,,,Jupiter-sized,30-100 days
,1,3.23,405.97,,,Super-Jupiter,3-10 days
,1,40.58,309.57,,,Super-Jupiter,30-100 days
,1,8.15,158.93,,,Super-Jupiter,3-10 days
,1,90.48,1.49,,,Super-Earth,30-100 days
,1,2.81,952.23,,,Super-Jupiter,<3 days
,1,23.25,517.42,,,Super-Jupiter,10-30 days
,1,14.91,8.37,,,Jupiter-sized,10-30 days
,1,4.25,2068.23,,,Super-Jupiter,3-10 days
,1,3.85,1521.28,,,Super-Jupiter,3-10 days
,1,2.64,184.9,,,Super-Jupiter,<3 days
,1,7.36,137.53,,,Super-Jupiter,3-10 days
,1,6.76,111.92,,,Super-Jupiter,3-10 days
,1,11.24,247.9,,,Super-Jupiter,10-30 days
,1,1.35,219.78,,,Super-Jupiter,<3 days
,1,14.1,325.72,,,Super-Jupiter,10-30 days
,1,40.04,9.82,,,Jupiter-sized,30-100 days
,1,3.62,153.05,,,Super-Jupiter,3-10 days
