Target_ID,Ground_Truth_Label,Prob_1D,Prob_2D,Delta
0,1,4.8415694e-32,4.5066588e-07,4.5066588e-07
1,1,1.6477451e-17,8.954337e-07,8.954337e-07
2,1,3.1668888e-27,5.812675e-07,5.812675e-07
3,1,1.9647087e-27,3.0817264e-07,3.0817264e-07
4,1,1.750977e-28,8.2117293e-07,8.2117293e-07
5,1,1.1166241e-29,4.4656133e-07,4.4656133e-07
6,1,1.2463663e-33,6.539012e-07,6.539012e-07
7,1,1.01329214e-26,9.5974656e-08,9.5974656e-08
8,1,5.4598883e-25,5.1198316e-07,5.1198316e-07
9,1,8.080624e-24,5.0291146e-07,5.0291146e-07
10,1,1.5267979e-28,7.937416e-07,7.937416e-07
11,1,1.7940891e-26,4.132359e-06,4.132359e-06
12,1,3.1780974e-33,4.277253e-07,4.277253e-07
13,1,4.0835964e-31,5.1682116e-07,5.1682116e-07
14,1,1.5708185e-27,5.6380793e-07,5.6380793e-07
15,1,4.625932e-21,5.503746e-07,5.503746e-07
16,1,8.138569e-31,6.419089e-07,6.419089e-07
17,1,1.8442897e-31,5.8876185e-07,5.8876185e-07
18,1,2.6209333e-32,4.7920173e-07,4.7920173e-07
19,1,1.6004162e-31,1.0364394e-06,1.0364394e-06
20,1,1.0099695e-26,6.642334e-07,6.642334e-07
21,1,3.5747246e-22,4.9493036e-07,4.9493036e-07
22,1,2.5431248e-18,1.4379419e-05,1.4379419e-05
23,1,6.6791166e-32,5.504333e-07,5.504333e-07
24,1,2.6503116e-32,5.436664e-07,5.436664e-07
25,1,1.2508556e-29,3.846781e-07,3.846781e-07
26,1,5.47312e-28,5.9846707e-07,5.9846707e-07
27,1,8.164341e-25,5.0188424e-07,5.0188424e-07
28,1,1.5442923e-31,6.073967e-07,6.073967e-07
29,1,1.0240053e-26,6.899265e-07,6.899265e-07
30,1,5.6844067e-33,4.1710248e-07,4.1710248e-07
31,1,1.3100915e-35,8.8367684e-05,8.8367684e-05
32,1,1.5611629e-29,2.818285e-06,2.818285e-06
33,1,9.750765e-33,5.566355e-07,5.566355e-07
34,1,9.294841e-34,8.169206e-07,8.169206e-07
35,1,6.8240964e-29,5.795356e-07,5.795356e-07
36,1,4.4806203e-34,7.7235023e-07,7.7235023e-07
37,1,3.277489e-28,4.1011148e-07,4.1011148e-07
38,1,4.0473724e-22,3.384666e-07,3.384666e-07
39,1,2.3834671e-31,6.5736384e-07,6.5736384e-07
40,1,2.1322433e-24,5.885474e-07,5.885474e-07
41,1,5.5591034e-26,4.4183292e-07,4.4183292e-07
42,1,1.0262701e-25,8.8718014e-07,8.8718014e-07
43,1,4.416971e-31,1.1945926e-06,1.1945926e-06
44,1,3.736409e-33,4.2503217e-07,4.2503217e-07
45,1,2.150413e-29,1.7030949e-06,1.7030949e-06
46,1,4.528044e-34,8.865189e-07,8.865189e-07
47,1,1.7834425e-28,4.091489e-07,4.091489e-07
48,1,4.3905695e-28,3.9799923e-07,3.9799923e-07
49,1,1.7029313e-33,4.1788556e-07,4.1788556e-07
50,1,2.6754933e-24,5.3495404e-07,5.3495404e-07
51,1,3.523712e-28,5.3754412e-08,5.3754412e-08
52,1,1.3574356e-26,7.279908e-07,7.279908e-07
53,1,1.0295617e-29,5.5514795e-07,5.5514795e-07
54,1,6.6206577e-28,5.9856524e-07,5.9856524e-07
55,1,5.810744e-29,5.783927e-07,5.783927e-07
56,1,4.1796582e-22,6.31153e-07,6.31153e-07
57,1,1.938495e-21,1.1091432e-06,1.1091432e-06
58,1,4.9558973e-30,2.2959817e-07,2.2959817e-07
59,1,2.4395345e-30,8.471606e-07,8.471606e-07
60,1,2.8848948e-26,5.774018e-07,5.774018e-07
61,1,1.7484772e-32,7.723341e-07,7.723341e-07
62,1,9.003932e-24,2.6740113e-07,2.6740113e-07
63,1,2.5925163e-30,4.2406293e-07,4.2406293e-07
64,1,5.560071e-29,1.9987785e-06,1.9987785e-06
65,1,1.0114163e-24,5.367723e-06,5.367723e-06
66,1,0.0,5.2366437e-07,5.2366437e-07
67,1,1.433561e-28,5.6147013e-07,5.6147013e-07
68,1,8.270139e-31,6.0531033e-07,6.0531033e-07
69,1,9.804594e-32,4.230894e-07,4.230894e-07
70,1,7.291738e-26,2.2268026e-07,2.2268026e-07
71,1,1.11687736e-26,5.3606936e-07,5.3606936e-07
72,1,1.989928e-31,2.1537219e-06,2.1537219e-06
73,1,4.2709464e-30,3.0852198e-07,3.0852198e-07
74,1,6.507371e-31,4.276516e-06,4.276516e-06
75,1,7.2038055e-30,3.9034666e-07,3.9034666e-07
76,1,1.4895436e-26,4.4735748e-07,4.4735748e-07
77,1,5.4170966e-30,4.36444e-06,4.36444e-06
78,1,1.2031459e-31,3.111013e-07,3.111013e-07
79,1,8.005058e-24,3.0580827e-07,3.0580827e-07
80,1,4.8244075e-31,7.446224e-07,7.446224e-07
81,1,6.1626533e-31,3.6271464e-07,3.6271464e-07
82,1,4.903892e-33,6.8782947e-07,6.8782947e-07
